Reaction name,reaction_id,gene_reaction_relation,HU_treatment,Temperature_treatment_5 vs. -10,Temperature_treatment_30 vs. 5,Temperature_treatment_60 vs. 30,Temperature_treatment_60 vs.  -10,Oxygen_treatment_26vs1.5 hyb_1 transcript,Oxygen_treatment_26vs1.5 hyb_2 transcript,Oxygen_treatment_21vs1.5 hyb_1 transcript,Oxygen_treatment_21vs1.5 hyb_2 transcript
TCA,carb_cac_2.3.3.1_CITRATE__RE__SYNTHASE__RXN,SSO2589,[0.605332311638704],[1.8],[-1.4],[-1.2],[1.1],['0.114035243'],['1.461958547'],['1.612637459'],['1.713118852']
TCA,carb_cac_4.2.1.3_BS18707,SSO1095,[0.11586824207374567],[-1.4],[1.1],[-1.2],[-1.4],['-0.124328135'],['-0.222804561'],['0.452056689'],['0.174621396']
TCA,carb_cac_4.2.1.3_BS18708,SSO1095,[0.11586824207374567],[-1.4],[1.1],[-1.2],[-1.4],['-0.124328135'],['-0.222804561'],['0.452056689'],['0.174621396']
TCA,carb_cac_1.1.1.42_1.1.1.41_RXN__7969,SSO2182,[-0.923729525093734],[-1.5],[1],[1.7],[1.2],['0.19759996'],['-0.708407983'],['-0.23878686'],['-0.092207438']
TCA,carb_cac_1.2.7.3_2__OXOGLUTARATE__SYNTHASE__RXN,(SSO2815 and SSO2816),"[0.4155559542252367, 0.6386288809193301]","[-1.4, -1.4]","[1.1, 1.3]","[1.4, -1.1]","[1, -1.1]","['0.77102743', '-0.160920188']","['0.628162383', '1.035046947']","['1.388355457', '0.836501268']","['0.921390165', '2.005782353']"
TCA,carb_cac_6.2.1.5_SUCCCOASYN__RXN,(SSO2482 and SSO2483),"[-0.473486709478754, -0.3440700158255666]","[1.6, 1.3]","[-1.4, -1.4]","[-1.2, -1]","[-1.1, -1.1]","['0.634867407', 'null']","['0.20756107', '0.077041036']","['-0.136191386', 'null']","['-0.454175893', '-0.413594082']"
TCA,carb_cac_1.3.99.1_1.3.5.1_SUCCINATE__DEHYDROGENASE__UBIQUINONE__RXN,(SSO2356 and SSO2357 and SSO2358 and SSO2359),"[0.34858146610708635, 0.24648043145512982, 0.050246427903395674, 0.3372771650972267]","[-2.9, -4, -3.7, -3.3]","[2.5, 2.9, 1.5, 1.1]","[-1, 1.1, 1.4, 1.7]","[-1.2, -1.3, -1.7, -1.7]","['0.454031631', '0.30222618', '0.120294234', '-0.561692721']","['0.60164963', '0.584241333', '0.195946441', '0.905088353']","['0.569179503', '0.448114897', '0.318325858', '-0.254594043']","['1.210896782', '0.886299501', '0.59946207', '0.356605547']"
TCA,carb_cac_4.2.1.2_FUMHYDR__RXN,SSO1077,[-0.6946825775968586],[-1.4],[1.3],[1.5],[1.4],['-0.211635253'],['0.780908942'],['0.418889825'],['0.675765438']
TCA,carb_cac_1.1.1.40_RXN__10813_NAD,SSO2585,[0.08768510917571339],[2.8],[-1.2],[-1.3],[1.7],['0.02620507'],['0.720231578'],['0.940644722'],['0.833927324']
TCA,carb_cac_1.1.1.40_RXN__10813_NADP,SSO2585,[0.08768510917571339],[2.8],[-1.2],[-1.3],[1.7],['0.02620507'],['0.720231578'],['0.940644722'],['0.833927324']
TCA,oxp_redox_1.6.5.3_RXN0__5330,((SSO0322 and SSO0323 and SSO0324 and SSO0325 and SSO0326 and SSO0327 and SSO0328 and SSO0329) or (SSO0322 and SSO0323 and SSO0324 and SSO0325 and SSO0326 and SSO0327 and SSO0328 and SSO0329 and SSO2960 and SSO3148)),"[0.8739442066554811, 0.8218554400452144, 0.7457638590144573, 0.7990337412880618, 0.9545724973841644, 0.45841929165029016, 0.5018803562720057, 0.33621871985672297, -0.14814962315255045, 1.0627471655094032]","[-1.3, -2.2, -9.1, -11, -10.2, -7, -6.4, -6.8, 1.3, 4.2]","[1.6, 3, 5.6, 4, 5.7, 2.9, 2, 1.8, 1.1, -1.5]","[1.2, 1.1, 1.3, 1.9, 1.4, 1.7, 1.7, 1.4, -1.4, -1]","[1.5, 1.5, -1.2, -1.4, -1.3, -1.5, -1.9, -2.6, -1, 2.8]","['1.13606155', '1.152003093', '1.064917477', '0.126580497', '0.469929258', '0.694321257', '0.02180437', '-0.092207438', '-0.885183866', '-0.319617934']","['2.258425153', '2.321928095', '1.98279071', '2.139235797', '1.977099598', '1.905088353', '0.442222329', '1.058893689', '-0.421155961', '-0.116364757']","['2.23786383', '2.652901329', '2.336427665', '1.318325858', '1.703689439', '1.948975997', '-0.052415894', '0.239566125', '-0.80240004', 'null']","['1.883635243', '2.434402824', '2.457989644', '2.13289427', '2.442222329', '1.841662973', '0.069451881', '1.261880711', '-0.613531653', '0.263611599']"
SoxABCD,oxp_redox_1.10.3.13_soxABCD_TRANS__RXN__240,(SSO10828 and SSO2656 and SSO2657 and SSO2658),"[0.3782489643143374, 0.36475017168998397, 0.3316264029672038, 0.37287072963496015]","[-3.7, -2.3, -2.5, -1.7]","[1.4, 1.6, 1.5, 1]","[1.2, -1.1, 1.1, -1.1]","[-2.2, -1.6, -1.6, -1.8]","['2.61705613', '4.411195433', '3.878321443', '4.058893689']","['4.23786383', 'null', '3.53951953', '3.756330919']","['3.395928676', '4.921390165', '4.506352666', '4.210896782']","['4.058893689', '4.836501268', '5.442222329', '4.53951953']"
SoxM,oxp_redox_1.10.3.13_soxM_TRANS__RXN__240,(SSO2968 and SSO2969 and SSO2970 and SSO2971 and SSO2972 and SSO2973),"[1.1482433214075842, 0.4068181134431233, 0.6232494344428645, 0.6978668352212583, 0.7001770961003613, 0.21234027964983818]","[-1.3, -3.3, -1.2, -1.6, 1.1, -1.2]","[-1.1, 1.1, -1.2, -1.8, -1.6, -1.1]","[-1.2, -1.1, 1.1, -1.2, -1.1, -1.3]","[-1.8, -3.4, -1.3, -3.4, -1.6, -1.8]","['-1.09963185', '-1.077242999', 'null', '-1.031395196', '-0.888304895', '-0.086783766']","['-3.031218731', '-2.996931011', 'null', 'null', '-2.507667804', '-2.854594152']","['-3.35614381', 'null', 'null', '-3.321783818', 'null', '-3.100473121']","['null', 'null', 'null', 'null', '-3.258820397', '-3.097105091']"
DoxABCDE,oxp_redox_1.10.3.13_doxABCDE_TRANS__RXN__240,(SSO5098 and SSO0044 and SSO0045 and SSO1742 and SSO1741),"[-0.15226574465951256, -0.07714627133848627, -0.028326996723591603, 4.685677488663477, 2.3137086919936682]","[-2.5, -4.8, -4.4, 2.7, 2.1]","[1.4, 1.6, 1.4, 1.2, 1.6]","[1.1, 1.7, 1.6, -1, 1]","[-1.6, -1.8, -2, 3.2, 3.3]","['1.083141235', '2.293358943', '2.070966521', '-0.073134705', '-0.411426246']","['5.717856771', 'null', '4.965784285', '-0.696884091', '-0.115033243']","['5.795859283', '6.64385619', '6.265344567', '-0.782408565', '-0.440420721']","['5.64385619', 'null', '5.64385619', '-0.5360529', '-0.291603558']"
ATPase,oxp_3.6.3.14_ATP__synthase,(SSO0559 and SSO0560 and SSO0561 and SSO0563 and SSO0564 and SSO0566 and SSO0567 and SSO6175),"[-0.3068528670127946, -0.13632425088873767, -0.008219626100526706, -0.2280509929370576, -0.3266280369577559, -0.11344665577969096, -0.34024386811209584, -0.02529300436718891]","[-5.2, -1.5, -1.5, -2.7, -2.7, -2.2, 1.2, -1.8]","[1.6, 2, 2.6, 1.9, 1.6, 1.8, -1, 1.4]","[-1, 1.1, -1.1, 1.5, 1.7, 1.3, 1.7, 1.6]","[-3.3, 1.4, 1.6, 1.1, 1, 1, 1.9, 1.3]","['null', '1.59946207', '0.19759996', '0.02180437', '0.187707155', '0.946193556', '-0.718087584', '0.467932448']","['null', '1.110915901', '0.341902795', '-0.249748715', '0.02180437', '-0.093560176', '0.027674958', '0.307572802']","['null', '2.13289427', '0.516635639', '0.174621396', '-0.205392513', '0.554273297', '-1.463622457', 'null']","['-0.085424656', '1.275786313', '0.666576266', '0.689659879', 'null', '0.158429363', '-0.259423152', '0.284545873']"
,superoxide_1.11.1.15_BS373387,SSO0316,[-0.2271197568043957],[1.2],[-1.3],[-1.5],[-1.5],['-0.618238656'],['-1.195977459'],['-2.171206827'],['-2.045792419']
